"scenario","model","year","ducks","discounted"
"rcp45_dry","rolling",2100,2401686.77802915,1593328.07810134
"rcp85_wet","greedy",2020,5107426.88812001,5107426.88812001
"rcp85_wet","greedy",2030,5074620.10963744,4820889.10415557
"rcp85_wet","greedy",2040,5047494.05321997,4555363.38303103
"rcp85_wet","greedy",2050,5024515.42087935,4307893.90897643
"rcp85_wet","greedy",2060,4728616.61600848,3851487.78759276
"rcp85_wet","greedy",2070,4431956.33224573,3429363.32572417
"rcp85_wet","greedy",2080,4138039.44678379,3041839.24041713
"rcp85_wet","greedy",2090,3841587.95407155,2682724.14455264
"rcp85_wet","greedy",2100,3544641.65810637,2351587.69758611
"rcp85_wet","myopic",2020,5107426.88812001,5107426.88812001
"rcp85_wet","myopic",2030,5076372.11623074,4822553.5104192
"rcp85_wet","myopic",2040,5052981.99592965,4560316.25132651
"rcp85_wet","myopic",2050,5035295.72016468,4317136.66807619
"rcp85_wet","myopic",2060,4742918.43754046,3863136.71061694
"rcp85_wet","myopic",2070,4447132.26228971,3441106.17110103
"rcp85_wet","myopic",2080,4152262.06529434,3052294.17194768
"rcp85_wet","myopic",2090,3856575.71929584,2693190.65999386
"rcp85_wet","myopic",2100,3560274.71797959,2361958.98890957
"rcp85_wet","rolling",2020,5107426.88812001,5107426.88812001
"rcp85_wet","rolling",2030,5077542.98559034,4823665.83631083
"rcp85_wet","rolling",2040,5055532.12844281,4562617.74591964
"rcp85_wet","rolling",2050,5040001.55584684,4321171.33394418
"rcp85_wet","rolling",2060,4748035.12785218,3867304.28685515
"rcp85_wet","rolling",2070,4453753.84476819,3446229.82539896
"rcp85_wet","rolling",2080,4160396.82284717,3058273.96625697
"rcp85_wet","rolling",2090,3864791.03436145,2698927.72090334
"rcp85_wet","rolling",2100,3569189.33781739,2367873.12984714
"rcp85_dry","greedy",2020,5107426.88812001,5107426.88812001
"rcp85_dry","greedy",2030,4157726.03221738,3949839.73060651
"rcp85_dry","greedy",2040,3237928.2542195,2922230.2494331
