"eau_id","cell_id","wmd_id_num","wmd_id","area_km2","x_coord","y_coord"
287,710,4,"Bowdoin",40405.9523908,-785986.590562942,2857849.8322163
288,711,4,"Bowdoin",40405.9523908,-767473.053731177,2857849.8322163
289,712,4,"Bowdoin",40405.9523908,-748959.516899412,2857849.8322163
290,783,4,"Bowdoin",40405.9523908,-1008149.03254412,2839364.62113587
291,784,4,"Bowdoin",40405.9523908,-989635.495712353,2839364.62113587
292,785,4,"Bowdoin",40405.9523908,-971121.958880589,2839364.62113587
293,786,4,"Bowdoin",40405.9523908,-952608.422048824,2839364.62113587
294,787,4,"Bowdoin",40405.9523908,-934094.885217059,2839364.62113587
295,788,4,"Bowdoin",40405.9523908,-915581.348385295,2839364.62113587
296,789,4,"Bowdoin",40405.9523908,-897067.81155353,2839364.62113587
297,790,4,"Bowdoin",40405.9523908,-878554.274721765,2839364.62113587
298,791,4,"Bowdoin",40405.9523908,-860040.73789,2839364.62113587
299,792,4,"Bowdoin",40405.9523908,-841527.201058236,2839364.62113587
300,793,4,"Bowdoin",40405.9523908,-823013.664226471,2839364.62113587
301,794,4,"Bowdoin",40405.9523908,-804500.127394706,2839364.62113587
302,795,4,"Bowdoin",40405.9523908,-785986.590562942,2839364.62113587
303,796,4,"Bowdoin",40405.9523908,-767473.053731177,2839364.62113587
304,797,4,"Bowdoin",40405.9523908,-748959.516899412,2839364.62113587
305,868,4,"Bowdoin",40405.9523908,-1008149.03254412,2820879.41005543
306,870,4,"Bowdoin",40405.9523908,-971121.958880589,2820879.41005543
307,871,4,"Bowdoin",40405.9523908,-952608.422048824,2820879.41005543
308,872,4,"Bowdoin",40405.9523908,-934094.885217059,2820879.41005543
309,873,4,"Bowdoin",40405.9523908,-915581.348385295,2820879.41005543
310,874,4,"Bowdoin",40405.9523908,-897067.81155353,2820879.41005543
311,875,4,"Bowdoin",40405.9523908,-878554.274721765,2820879.41005543
312,876,4,"Bowdoin",40405.9523908,-860040.73789,2820879.41005543
313,877,4,"Bowdoin",40405.9523908,-841527.201058236,2820879.41005543
314,878,4,"Bowdoin",40405.9523908,-823013.664226471,2820879.41005543
315,879,4,"Bowdoin",40405.9523908,-804500.127394706,2820879.41005543
316,880,4,"Bowdoin",40405.9523908,-785986.590562942,2820879.41005543
317,882,4,"Bowdoin",40405.9523908,-748959.516899412,2820879.41005543
318,956,4,"Bowdoin",40405.9523908,-952608.422048824,2802394.198975
319,957,4,"Bowdoin",40405.9523908,-934094.885217059,2802394.198975
320,958,4,"Bowdoin",40405.9523908,-915581.348385295,2802394.198975
321,959,4,"Bowdoin",40405.9523908,-897067.81155353,2802394.198975
322,960,4,"Bowdoin",40405.9523908,-878554.274721765,2802394.198975
323,961,4,"Bowdoin",40405.9523908,-860040.73789,2802394.198975
324,962,4,"Bowdoin",40405.9523908,-841527.201058236,2802394.198975
325,963,4,"Bowdoin",40405.9523908,-823013.664226471,2802394.198975
326,964,4,"Bowdoin",40405.9523908,-804500.127394706,2802394.198975
327,1044,4,"Bowdoin",40405.9523908,-897067.81155353,2783908.98789456
328,551,5,"Crosby Lostwood",17709.5946275,-582337.68541353,2894820.25437717
329,552,5,"Crosby Lostwood",17709.5946275,-563824.148581765,2894820.25437717
330,553,5,"Crosby Lostwood",17709.5946275,-545310.61175,2894820.25437717
331,554,5,"Crosby Lostwood",17709.5946275,-526797.074918235,2894820.25437717
332,555,5,"Crosby Lostwood",17709.5946275,-508283.538086471,2894820.25437717
