alignment,scenario,wmd_id,year,wmd_total
current,rcp45_dry,Morris,2090,34544.62450600001
current,rcp45_dry,Morris,2100,33656.49153
current,rcp45_dry,Roseau,2020,26697.59802
current,rcp45_dry,Roseau,2030,24574.480293333334
current,rcp45_dry,Roseau,2040,22451.36256666666
current,rcp45_dry,Roseau,2050,20328.244839999996
current,rcp45_dry,Roseau,2060,19666.29306799999
current,rcp45_dry,Roseau,2070,19004.341296
current,rcp45_dry,Roseau,2080,18342.389524
current,rcp45_dry,Roseau,2090,17680.437751999998
current,rcp45_dry,Roseau,2100,17018.485979999998
current,rcp45_dry,Sand Lake,2020,625525.6247999999
current,rcp45_dry,Sand Lake,2030,555572.5988666668
current,rcp45_dry,Sand Lake,2040,485619.57293333317
current,rcp45_dry,Sand Lake,2050,415666.5469999998
current,rcp45_dry,Sand Lake,2060,393711.16808000015
current,rcp45_dry,Sand Lake,2070,371755.78916000004
current,rcp45_dry,Sand Lake,2080,349800.41024
current,rcp45_dry,Sand Lake,2090,327845.03132000007
current,rcp45_dry,Sand Lake,2100,305889.6524000001
current,rcp45_dry,Tewaukon,2020,163271.77619999996
current,rcp45_dry,Tewaukon,2030,135934.21517666668
current,rcp45_dry,Tewaukon,2040,108596.65415333335
current,rcp45_dry,Tewaukon,2050,81259.09312999998
current,rcp45_dry,Tewaukon,2060,78187.58489800003
current,rcp45_dry,Tewaukon,2070,75116.07666600002
current,rcp45_dry,Tewaukon,2080,72044.56843400002
current,rcp45_dry,Tewaukon,2090,68973.06020200001
current,rcp45_dry,Tewaukon,2100,65901.55196999999
current,rcp45_dry,Valley City,2020,155286.89729999998
current,rcp45_dry,Valley City,2030,133004.12699000005
current,rcp45_dry,Valley City,2040,110721.35668
current,rcp45_dry,Valley City,2050,88438.58636999999
current,rcp45_dry,Valley City,2060,83704.71691399999
current,rcp45_dry,Valley City,2070,78970.84745800002
current,rcp45_dry,Valley City,2080,74236.97800199999
current,rcp45_dry,Valley City,2090,69503.108546
current,rcp45_dry,Valley City,2100,64769.23908999998
current,rcp45_dry,Waubay,2020,241580.79430000007
current,rcp45_dry,Waubay,2030,211642.11223333344
current,rcp45_dry,Waubay,2040,181703.43016666666
current,rcp45_dry,Waubay,2050,151764.7481
current,rcp45_dry,Waubay,2060,146362.4488399999
current,rcp45_dry,Waubay,2070,140960.14958000006
current,rcp45_dry,Waubay,2080,135557.85032000003
current,rcp45_dry,Waubay,2090,130155.55106
current,rcp45_dry,Waubay,2100,124753.25180000004
current,rcp85_wet,Arrowwood,2020,377952.1344999999
current,rcp85_wet,Arrowwood,2030,375952.9013000002
current,rcp85_wet,Arrowwood,2040,373953.6681000001
current,rcp85_wet,Arrowwood,2050,371954.43490000005
current,rcp85_wet,Arrowwood,2060,353095.9278799999
current,rcp85_wet,Arrowwood,2070,334237.42086
current,rcp85_wet,Arrowwood,2080,315378.91383999994
current,rcp85_wet,Arrowwood,2090,296520.4068200001
current,rcp85_wet,Arrowwood,2100,277661.8998
current,rcp85_wet,Audubon,2020,470658.92409999995
current,rcp85_wet,Audubon,2030,453145.83679999993
current,rcp85_wet,Audubon,2040,435632.7495000001
current,rcp85_wet,Audubon,2050,418119.66220000014
current,rcp85_wet,Audubon,2060,391932.6015
current,rcp85_wet,Audubon,2070,365745.54079999996
current,rcp85_wet,Audubon,2080,339558.48009999975
current,rcp85_wet,Audubon,2090,313371.41939999996
current,rcp85_wet,Audubon,2100,287184.35870000004
current,rcp85_wet,Crosby Lostwood,2020,485444.33930000017
current,rcp85_wet,Crosby Lostwood,2030,485425.6083666667
current,rcp85_wet,Crosby Lostwood,2040,485406.87743333325
current,rcp85_wet,Crosby Lostwood,2050,485388.1464999998
