alignment,scenario,year,n_eau,mean_b,median_b,sd_b,p10_b,p90_b,total_b
midpoint,rcp85_wet,2040,841,6196.642796265629,4346.020729794146,6133.837145961889,678.4399063337275,14598.07111357565,5211376.591659394
midpoint,rcp85_wet,2050,841,5992.383552602557,4135.8414949297485,5992.286563354354,648.6846990661908,14158.006498445306,5039594.567738756
midpoint,rcp85_wet,2060,841,5539.721314835018,3874.674495991378,5500.837266361839,622.0730238959633,13105.363226120928,4658905.625776245
midpoint,rcp85_wet,2070,841,5087.059077067479,3507.258788515121,5003.9635813406485,579.0530989738013,12007.867394530718,4278216.683813752
midpoint,rcp85_wet,2080,841,4634.39683929994,3115.1333552531064,4516.402306951429,561.0077893240941,10825.036666780621,3897527.741851253
midpoint,rcp85_wet,2090,841,4408.065720416171,3003.1094333148912,4276.195661435807,546.3308031258136,10208.585208773404,3707183.2708700052
midpoint,rcp85_wet,2100,841,4408.065720416171,3009.134447657789,4277.455073522504,546.6866375044787,10191.803667187534,3707183.2708700006
midpoint,rcp85_dry,2020,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,rcp85_dry,2030,841,4342.65595460815,3109.449138830765,4105.397061534822,551.4642964014455,9809.671184557894,3652173.657825453
midpoint,rcp85_dry,2040,841,3381.331321040608,2383.786081147021,3203.0015759517987,446.3667965492306,7670.508453718783,2843699.6409951504
midpoint,rcp85_dry,2050,841,2895.717762027349,2048.570544417483,2758.421688462318,386.88533979062095,6548.5164395203965,2435298.637865001
midpoint,rcp85_dry,2060,841,2885.815277568371,2019.7137824232705,2750.5494194159464,389.74003140099984,6484.484695522389,2426970.648434999
midpoint,rcp85_dry,2070,841,2875.9127931093935,2019.0007965085242,2739.6613044217975,404.4717656564875,6434.614801359225,2418642.6590049993
midpoint,rcp85_dry,2080,841,2866.0103086504164,2015.555993833891,2732.738273051485,395.9952257707235,6430.661863662363,2410314.669575
midpoint,rcp85_dry,2090,841,2861.059066420927,1995.9159449187614,2730.884090622449,399.09646645406565,6368.743399859684,2406150.674859999
midpoint,rcp85_dry,2100,841,2861.0590664209276,1999.8055780363009,2731.8437566752623,397.44600704983503,6356.155448554433,2406150.6748599987
midpoint,stationary,2020,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2030,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2040,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2050,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2060,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2070,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2080,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2090,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,stationary,2100,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
