eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,trans_prob,cost,eau_row,total_prop_suitable,habitat_share
4,Arrowwood,2050,85,wet,0.629975060453067,371954.4349,14457.929472634141,NA,NA,4,16.207162862112227,0.038870162891111
4,Arrowwood,2050,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2060,45,dry,0.643684427804525,207673.3342,8258.134979213262,NA,NA,4,16.18720106068307,0.0397650233287065
4,Arrowwood,2060,45,wet,0.643684427804525,280323.2206,11147.059406737138,NA,NA,4,16.18720106068307,0.0397650233287065
4,Arrowwood,2060,85,dry,0.643911683675526,148641.86320000002,5897.986063122145,NA,NA,4,16.227951604740348,0.039679172045807246
4,Arrowwood,2060,85,wet,0.643911683675526,353095.92788,14010.554071024466,NA,NA,4,16.227951604740348,0.039679172045807246
4,Arrowwood,2060,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2070,45,dry,0.644248977503924,194092.518,7742.651074640133,NA,NA,4,16.150011805675206,0.0398915483936384
4,Arrowwood,2070,45,wet,0.644248977503924,281752.4502,11239.541502179494,NA,NA,4,16.150011805675206,0.0398915483936384
4,Arrowwood,2070,85,dry,0.644523498000922,146634.807,5836.869189574077,NA,NA,4,16.191827444950256,0.03980548212931515
4,Arrowwood,2070,85,wet,0.644523498000922,334237.42086,13304.481682991118,NA,NA,4,16.191827444950256,0.03980548212931515
4,Arrowwood,2070,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2080,45,dry,0.651490968531567,180511.7018,7300.814477742705,NA,NA,4,16.10803065815254,0.04044510358575936
4,Arrowwood,2080,45,wet,0.651490968531567,283181.6798,11453.312373100338,NA,NA,4,16.10803065815254,0.04044510358575936
4,Arrowwood,2080,85,dry,0.652636110003946,144627.7508,5835.084750962531,NA,NA,4,16.176164821798352,0.04034554031771979
4,Arrowwood,2080,85,wet,0.652636110003946,315378.91384,12724.132683690395,NA,NA,4,16.176164821798352,0.04034554031771979
4,Arrowwood,2080,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2090,45,dry,0.652456159787262,166930.8856,6775.8595329485015,NA,NA,4,16.07398796253803,0.04059080803767389
4,Arrowwood,2090,45,wet,0.652456159787262,284610.9094,11552.586788883196,NA,NA,4,16.07398796253803,0.04059080803767389
4,Arrowwood,2090,85,dry,0.653594613643289,142620.6946,5775.100662171884,NA,NA,4,16.141037747655126,0.04049272567609473
4,Arrowwood,2090,85,wet,0.653594613643289,296520.40682000003,12006.91949072627,NA,NA,4,16.141037747655126,0.04049272567609473
4,Arrowwood,2090,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2100,45,dry,0.657418042893799,153350.0694,6278.163830938412,NA,NA,4,16.05805538328986,0.0409400781851776
